segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
15040010824364,e1f44311-97a8-4064-ae03-b3b25210b818,60,7,32.63,33.57449,-7.67998,4,16:00-21:00,1,17.5,15.0,14.9,7.6,7.89,7.83,0.62,33,3.28,8,11,11,12,13,13,14,15,15,15,16,17,18,20,20,23,26,27,35
15040010818402,e264b1fc-5bd1-4be9-81c5-2602cef3e23c,100,4,64.88,33.54791,-7.66016,4,16:00-21:00,1,37.9,37.0,35.0,10.1,6.68,6.31,0.98,848,2.8,23,27,30,31,32,33,34,35,36,37,38,39,40,41,43,44,46,48,54
15040010911677,e27e327c-5266-42e6-a8c1-01a6969a7abe,60,4,64.99,33.55837,-7.67979,4,16:00-21:00,1,29.8,30.0,25.7,8.9,9.1,7.8,1.03,3633,9.41,15,19,21,23,24,26,27,28,29,30,31,32,33,34,35,36,38,40,44
15040010623617,e289cb75-2e1e-427a-8f7c-dabf11849c02,60,7,42.92,33.54548,-7.67755,4,16:00-21:00,1,20.3,21.0,17.3,6.2,8.92,7.36,1.03,407,6.35,9,12,14,15,16,17,18,19,20,21,22,22,23,24,24,25,27,28,30
15040010867235,e2bf98e6-53ef-4305-8ab2-76fe3630f26d,60,5,65.75,33.55009,-7.67152,4,16:00-21:00,1,28.5,28.0,23.9,9.9,9.92,8.45,1.01,1493,6.61,12,16,19,21,23,24,25,26,27,28,29,30,31,32,33,35,37,40,46
15040010819281,e2f45bf5-bd46-4a8f-9d2a-d55ccd922d12,60,4,10.58,33.54925,-7.68784,4,16:00-21:00,1,18.1,17.0,11.4,10.9,3.33,2.24,1.15,1688,3.67,4,6,8,10,11,13,14,15,16,17,18,19,20,21,22,24,26,30,37
15040010973721,e33a14db-908f-4691-82a8-8e8987c6d88d,60,4,59.86,33.56461,-7.66189,4,16:00-21:00,1,38.2,40.0,29.9,14.9,7.2,5.39,1.16,4549,6.62,15,18,21,22,25,27,33,36,38,40,42,43,45,47,49,51,54,57,61
15040010811176,e33ec5a0-1802-4df3-8358-b4a4b20423c7,18,6,33.37,33.55274,-7.68524,4,16:00-21:00,1,16.9,16.0,13.3,6.8,9.01,7.51,1.13,104,5.83,6,8,10,10,12,14,14,15,16,16,18,18,20,21,21,23,24,26,28
15040010807563,e364ff02-7084-4e21-ad57-3ca4e154f566,60,7,35.16,33.5484,-7.67275,4,16:00-21:00,1,16.0,15.0,11.6,7.9,10.88,8.44,0.97,156,10.64,5,8,9,10,10,12,12,13,14,15,15,16,17,18,19,21,25,27,30
15040010854588,e37a489a-4615-4db5-982e-96e0474da146,18,7,17.44,33.55509,-7.66616,4,16:00-21:00,1,55.0,57.0,47.6,18.3,1.32,1.1,0.59,525,0.61,26,31,33,36,39,42,46,52,55,57,59,61,64,66,68,71,76,79,82
15040010917058,e3ee38c7-d3bb-42c3-9122-0cb258d3f532,60,3,442.41,33.54582,-7.66893,4,16:00-21:00,1,41.8,43.0,37.5,11.5,42.5,37.04,1.1,3286,21.94,23,27,30,33,36,38,39,40,42,43,44,45,46,47,48,49,51,53,57
15040010795888,e416b0ed-6ca2-41be-ab4e-064898b04bf0,60,4,38.44,33.54916,-7.68779,4,16:00-21:00,1,17.0,15.0,10.8,11.2,12.87,9.23,1.19,1654,11.57,4,5,7,8,9,10,11,13,14,15,17,18,19,20,22,23,26,30,37
15040010604756,e4599bc4-9f83-4ea2-88f5-83fa7f684d14,26,7,21.28,33.54648,-7.6485,4,16:00-21:00,1,39.1,39.0,29.8,13.8,2.57,1.96,1.03,652,4.74,18,25,28,30,31,33,35,36,38,39,40,41,42,43,45,47,48,51,63
15040010911155,e4659f2b-1589-4d21-8e5b-4d7b348e5040,60,6,36.55,33.54733,-7.67756,4,16:00-21:00,1,23.3,23.0,17.7,8.3,7.42,5.72,0.99,1392,11.07,9,13,15,17,18,19,20,21,22,23,24,25,26,27,28,30,32,33,37
15040010824010,e483f957-06a3-4bcd-8031-6edfc3cfb11c,20,7,35.51,33.56529,-7.65972,4,16:00-21:00,1,20.3,20.0,16.4,8.2,7.81,6.39,1.13,2946,9.3,9,11,12,13,14,16,17,18,18,20,21,21,23,24,25,26,28,30,35
15040010846588,e4ccf948-6a18-4bb3-b7de-cf5a40c9af4c,60,7,30.83,33.5538,-7.68359,4,16:00-21:00,1,17.5,17.0,15.5,5.3,7.17,6.53,0.98,193,3.24,8,11,12,13,14,15,16,17,17,17,18,19,20,20,21,22,23,24,26
15040010548024,e50b8f95-b7ed-49b3-9051-16bee5de89ef,60,7,6.1,33.54809,-7.6618,4,16:00-21:00,1,21.2,23.0,14.7,7.8,1.49,0.95,1.44,32,1.5,4,9,13,18,18,20,21,21,22,23,23,23,23,25,26,26,29,30,32
15040010957522,e5577a55-0f45-43b6-ab41-2178ccc11983,60,7,17.49,33.56045,-7.68013,4,16:00-21:00,1,24.5,25.0,21.2,7.2,2.97,2.52,0.9,49,1.62,10,11,18,21,22,22,23,23,25,25,26,26,26,28,29,31,33,33,35
15040010602920,e56f3a2e-44c2-4647-a9d1-933c5a8244a9,43,4,192.3,33.53898,-7.66261,4,16:00-21:00,1,42.5,44.0,38.5,10.8,18.0,15.73,1.02,3316,7.75,20,26,32,35,38,39,41,42,43,44,45,46,47,48,49,50,52,54,57
15040011041021,e5824460-0405-4054-8abd-6395180f7e12,18,7,69.77,33.54915,-7.67612,4,16:00-21:00,1,17.6,18.0,14.2,7.1,17.71,13.95,1.17,52,10.13,6,8,9,11,12,13,15,16,16,18,18,20,21,22,23,25,25,26,27
15040011004594,e58bef8c-938c-4f8c-ac5b-c69a35587703,18,7,81.47,33.55829,-7.65542,4,16:00-21:00,1,26.2,24.0,17.5,15.3,16.74,12.22,1.07,10498,11.2,8,9,9,10,12,14,16,18,21,24,27,29,32,35,38,41,45,48,53
15040010819820,e591c849-2ea2-4153-b170-9afdb6eecd56,60,1,238.28,33.54355,-7.65363,4,16:00-21:00,1,58.1,58.0,55.8,10.8,15.38,14.79,1.01,20616,3.63,40,45,48,50,52,53,55,56,57,58,59,61,62,63,65,66,68,71,75
15040010601357,e5b80cc0-3308-4d88-b087-05e91405ab7a,51,3,16.93,33.54057,-7.663,4,16:00-21:00,1,50.7,53.0,44.1,13.7,1.38,1.15,1.04,6455,1.05,22,29,36,41,45,48,50,51,52,53,54,56,57,58,59,61,62,65,69
15040010823924,e5ed1633-0c96-4ff4-bd42-d79d03181b7b,60,7,70.04,33.5477,-7.66231,4,16:00-21:00,1,18.5,19.0,9.8,9.6,25.62,13.27,0.87,33,33.61,2,5,9,10,11,11,15,18,19,19,20,20,23,25,25,26,28,29,31
15040011037025,e6705f38-727e-4842-bb6e-0f7453849f66,18,7,16.04,33.56746,-7.66713,4,16:00-21:00,1,21.3,21.0,11.7,10.0,4.96,2.75,1.15,3679,8.99,3,9,12,14,15,17,18,19,20,21,22,23,24,26,27,29,31,34,39
15040010907063,e6dd4207-46ba-4576-b5cb-f77a8a2f6b12,60,4,31.8,33.55796,-7.68024,4,16:00-21:00,1,24.3,23.0,13.7,12.9,8.33,4.98,1.03,3859,10.83,4,6,10,14,16,18,20,21,23,23,25,26,28,30,32,34,37,41,47
15040010903959,e747dc90-2bbc-4eaa-8043-0e302fb8ecdd,60,7,169.4,33.55216,-7.67705,4,16:00-21:00,1,14.9,17.0,10.4,6.8,58.47,35.87,0.94,57,49.99,3,6,7,9,9,11,12,13,14,17,17,18,18,19,20,20,22,22,25
15040010811395,e76abcad-230a-440c-8e2e-1411a42c6f07,60,4,26.75,33.54505,-7.65989,4,16:00-21:00,1,38.0,38.0,33.9,11.8,2.84,2.53,0.85,847,1.23,20,23,26,28,31,32,34,36,37,38,39,40,41,42,44,46,48,51,58
15040010853896,e82377fa-29b7-43eb-9fc9-b4b0ec210f9c,60,7,22.22,33.55406,-7.68372,4,16:00-21:00,1,17.5,17.0,15.5,5.3,5.17,4.71,0.97,193,2.33,8,11,12,13,14,15,16,17,17,17,18,19,20,20,21,22,23,24,26
15040010601980,e84d937b-2737-4346-9e51-532e1e0a360e,18,4,84.4,33.54489,-7.66111,4,16:00-21:00,1,22.4,20.0,11.3,17.0,26.97,15.19,1.06,1829,26.09,4,5,6,7,8,10,12,15,18,20,22,24,27,30,32,35,37,40,51
15040010822067,e8c75d75-dc32-4006-90a0-bfbc9e207ca5,60,7,8.58,33.57621,-7.67476,4,16:00-21:00,1,23.4,21.0,15.1,13.8,2.05,1.47,1.01,59,2.31,4,11,14,14,16,16,17,18,20,21,21,23,25,26,27,29,33,39,63
15040010865816,e8d6af57-64fd-406d-b334-ad47132c429d,60,7,42.89,33.55265,-7.67419,4,16:00-21:00,1,16.9,18.0,15.0,4.7,10.27,8.58,1.02,56,4.64,7,10,12,13,14,15,16,17,17,18,19,19,19,19,20,20,21,22,23
15040010840267,e8e2f17d-6b12-4555-940d-47dd535cc5c9,18,7,36.34,33.56482,-7.65963,4,16:00-21:00,1,10.1,5.9,4.4,9.7,29.93,22.17,1.04,3820,24.95,2,2,2,3,3,3,4,4,5,6,7,9,11,13,15,17,20,24,31
