segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
-15040002521181,-00004d41-3200-0400-0000-0000004c5651,60,7,72.96,33.57331,-7.67712,4,16:00-21:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521181,-00004d41-3200-0400-0000-0000004c5651,60,7,72.96,33.57331,-7.67712,5,22:00-24:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521181,-00004d41-3200-0400-0000-0000004c5651,60,7,72.96,33.57331,-7.67712,6,0:00-4:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004750140,-00004d41-3200-0400-0000-0000004c5652,60,7,21.45,33.57367,-7.67735,2,10:00-16:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004750140,-00004d41-3200-0400-0000-0000004c5652,60,7,21.45,33.57367,-7.67735,3,5:00-9:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004750140,-00004d41-3200-0400-0000-0000004c5652,60,7,21.45,33.57367,-7.67735,4,16:00-21:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004750140,-00004d41-3200-0400-0000-0000004c5652,60,7,21.45,33.57367,-7.67735,5,22:00-24:00,1,16.0,16.0,16.0,0.0,4.83,4.83,0.0,1,0.0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-15040004750140,-00004d41-3200-0400-0000-0000004c5652,60,7,21.45,33.57367,-7.67735,6,0:00-4:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040001877889,-00004d41-3200-0400-0000-0000004c5653,60,7,15.85,33.57331,-7.67712,2,10:00-16:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040001877889,-00004d41-3200-0400-0000-0000004c5653,60,7,15.85,33.57331,-7.67712,3,5:00-9:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040001877889,-00004d41-3200-0400-0000-0000004c5653,60,7,15.85,33.57331,-7.67712,4,16:00-21:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
